"","df71.Fz0","df71.Longitude","df71.Latitude"
"1",117.924502799254,-178.5,-77.5
"2",120,-177.5,-77.5
"3",118.699730538426,-176.5,-77.5
"4",120,-175.5,-77.5
"5",120,-172.5,-77.5
"6",120,-171.5,-77.5
"7",120,-170.5,-77.5
"8",120,-169.5,-77.5
"9",120,-168.5,-77.5
"10",120,-167.5,-77.5
"11",120,-166.5,-77.5
"12",120,-165.5,-77.5
"13",120,-164.5,-77.5
"14",120,-163.5,-77.5
"15",120,-162.5,-77.5
"16",120,-161.5,-77.5
"17",120,-160.5,-77.5
"18",120,-159.5,-77.5
"19",111.203675392942,-44.5,-77.5
"20",110.804061897402,-43.5,-77.5
"21",110.786334665714,-42.5,-77.5
"22",110.777472113448,-41.5,-77.5
"23",110.697741040157,-40.5,-77.5
"24",110.706597213682,-39.5,-77.5
"25",110.65347079838,-38.5,-77.5
"26",110.795197927013,-37.5,-77.5
"27",110.388220895667,-36.5,-77.5
"28",109.885996550144,-35.5,-77.5
"29",43.4090345711828,165.5,-77.5
"30",120,-179.5,-76.5
"31",120,-178.5,-76.5
"32",120,-177.5,-76.5
"33",120,-176.5,-76.5
"34",95.3355209350133,-175.5,-76.5
"35",87.6266526327583,-174.5,-76.5
"36",85.9930756004942,-173.5,-76.5
"37",79.4094072100207,-172.5,-76.5
"38",89.1300886224073,-171.5,-76.5
"39",84.3537009985853,-170.5,-76.5
"40",89.3499124806101,-169.5,-76.5
"41",120,-168.5,-76.5
"42",120,-167.5,-76.5
"43",109.911966506009,-166.5,-76.5
"44",120,-165.5,-76.5
"45",120,-164.5,-76.5
"46",120,-163.5,-76.5
"47",120,-162.5,-76.5
"48",120,-161.5,-76.5
"49",120,-160.5,-76.5
"50",120,-159.5,-76.5
"51",120,-158.5,-76.5
"52",120,-157.5,-76.5
"53",120,-156.5,-76.5
"54",90.6121757820656,-155.5,-76.5
"55",101.491650116857,-45.5,-76.5
"56",101.556625562857,-44.5,-76.5
"57",101.491650116857,-43.5,-76.5
"58",101.143118658262,-42.5,-76.5
"59",100.819977979389,-41.5,-76.5
