"","df71.POC1000","df71.Longitude","df71.Latitude"
"1",11.4655141725292,-178.5,-77.5
"2",9.89804263467336,-177.5,-77.5
"3",9.56792051512174,-176.5,-77.5
"4",12,-175.5,-77.5
"5",12,-172.5,-77.5
"6",12,-171.5,-77.5
"7",12,-170.5,-77.5
"8",12,-169.5,-77.5
"9",12,-168.5,-77.5
"10",12,-167.5,-77.5
"11",12,-166.5,-77.5
"12",12,-165.5,-77.5
"13",12,-164.5,-77.5
"14",12,-163.5,-77.5
"15",12,-162.5,-77.5
"16",12,-161.5,-77.5
"17",12,-160.5,-77.5
"18",8.21597040526305,-159.5,-77.5
"19",8.20935153523438,-44.5,-77.5
"20",5.70154284802377,-43.5,-77.5
"21",5.56369830787332,-42.5,-77.5
"22",7.71632301679408,-41.5,-77.5
"23",8.77104794640818,-40.5,-77.5
"24",7.54246282840423,-39.5,-77.5
"25",9.00608341465082,-38.5,-77.5
"26",7.90819104393692,-37.5,-77.5
"27",8.63619963775312,-36.5,-77.5
"28",7.94344386238107,-35.5,-77.5
"29",1.79433789204186,165.5,-77.5
"30",12,-179.5,-76.5
"31",12,-178.5,-76.5
"32",12,-177.5,-76.5
"33",12,-176.5,-76.5
"34",5.95813809341685,-175.5,-76.5
"35",6.29162542580602,-174.5,-76.5
"36",5.96518228827633,-173.5,-76.5
"37",4.5088075043588,-172.5,-76.5
"38",5.74977234209464,-171.5,-76.5
"39",5.64846469973771,-170.5,-76.5
"40",6.07911798870703,-169.5,-76.5
"41",8.32569794749727,-168.5,-76.5
"42",12,-167.5,-76.5
"43",8.06693292181841,-166.5,-76.5
"44",11.6191008169222,-165.5,-76.5
"45",12,-164.5,-76.5
"46",12,-163.5,-76.5
"47",12,-162.5,-76.5
"48",12,-161.5,-76.5
"49",12,-160.5,-76.5
"50",12,-159.5,-76.5
"51",12,-158.5,-76.5
"52",12,-157.5,-76.5
"53",12,-156.5,-76.5
"54",6.17208425504181,-155.5,-76.5
"55",5.48816920282212,-45.5,-76.5
"56",5.0655094703769,-44.5,-76.5
"57",6.92371561802886,-43.5,-76.5
"58",7.38032967783886,-42.5,-76.5
"59",7.27606456184508,-41.5,-76.5
