"","df71.z_star","df71.Longitude","df71.Latitude"
"1",386.149942760855,-178.5,-77.5
"2",359.765779670821,-177.5,-77.5
"3",357.400818033543,-176.5,-77.5
"4",402.66978286901,-175.5,-77.5
"5",423.464479418352,-172.5,-77.5
"6",403.873059825614,-171.5,-77.5
"7",399.852279455934,-170.5,-77.5
"8",371.622814162282,-169.5,-77.5
"9",340.380554614985,-168.5,-77.5
"10",377.115058959477,-167.5,-77.5
"11",408.313559037806,-166.5,-77.5
"12",359.9720321218,-165.5,-77.5
"13",409.217332097432,-164.5,-77.5
"14",416.98290298348,-163.5,-77.5
"15",437.934279465087,-162.5,-77.5
"16",410.077652564596,-161.5,-77.5
"17",384.341652650013,-160.5,-77.5
"18",327.41851347949,-159.5,-77.5
"19",345.34500859291,-44.5,-77.5
"20",303.333982214906,-43.5,-77.5
"21",300.868468574522,-42.5,-77.5
"22",337.814318155882,-41.5,-77.5
"23",354.980974838442,-40.5,-77.5
"24",335.028993289956,-39.5,-77.5
"25",358.779697052448,-38.5,-77.5
"26",340.936937962018,-37.5,-77.5
"27",353.212553961997,-36.5,-77.5
"28",342.583530679971,-35.5,-77.5
"29",282.483082992684,165.5,-77.5
"30",446.853764682882,-179.5,-76.5
"31",437.628170184245,-178.5,-76.5
"32",415.770945530288,-177.5,-76.5
"33",393.942469822112,-176.5,-76.5
"34",324.599861422885,-175.5,-76.5
"35",341.703064661348,-174.5,-76.5
"36",337.289974337888,-173.5,-76.5
"37",313.743630418133,-172.5,-76.5
"38",328.354900116797,-171.5,-76.5
"39",332.885182212795,-170.5,-76.5
"40",334.85872093444,-169.5,-76.5
"41",325.586749730627,-168.5,-76.5
"42",378.465283440906,-167.5,-76.5
"43",344.575901881951,-166.5,-76.5
"44",332.938484826398,-165.5,-76.5
"45",382.426323499185,-164.5,-76.5
"46",440.831183959644,-163.5,-76.5
"47",405.066293499658,-162.5,-76.5
"48",493.525449188174,-161.5,-76.5
"49",500.301041601864,-160.5,-76.5
"50",392.155496238645,-159.5,-76.5
"51",373.790623779066,-158.5,-76.5
"52",393.261012411184,-157.5,-76.5
"53",370.512199368204,-156.5,-76.5
"54",335.001889781191,-155.5,-76.5
"55",308.49578799138,-45.5,-76.5
"56",300.183931585763,-44.5,-76.5
"57",335.19253887525,-43.5,-76.5
"58",343.81087805331,-42.5,-76.5
"59",342.368514987029,-41.5,-76.5
"60",351.271700242016,-40.5,-76.5
"61",329.432484582468,-39.5,-76.5
"62",321.74045874417,-38.5,-76.5
"63",313.024833003971,-37.5,-76.5
"64",328.062702427565,-36.5,-76.5
"65",343.272621709352,-35.5,-76.5
"66",327.471266206434,-34.5,-76.5
"67",302.74305485698,-33.5,-76.5
"68",310.666852807069,-32.5,-76.5
"69",309.375895907593,-31.5,-76.5
"70",468.263198290968,164.5,-76.5
"71",426.185945830531,165.5,-76.5
"72",601.58885031727,166.5,-76.5
"73",664.72025054744,167.5,-76.5
"74",531.844095043938,168.5,-76.5
"75",485.209963707963,169.5,-76.5
"76",467.652518160737,170.5,-76.5
"77",407.640591180349,171.5,-76.5
"78",438.752018716951,172.5,-76.5
"79",473.122365697166,173.5,-76.5
"80",423.218872260806,174.5,-76.5
"81",454.33719788195,175.5,-76.5
"82",434.8104124672,176.5,-76.5
"83",422.722970024607,177.5,-76.5
"84",480.429688280311,178.5,-76.5
"85",490.862084186787,179.5,-76.5
"86",396.642703557984,-179.5,-75.5
"87",361.874574297658,-178.5,-75.5
"88",292.86560321258,-175.5,-75.5
"89",295.903208906238,-174.5,-75.5
"90",314.322861424149,-173.5,-75.5
"91",329.439784965517,-172.5,-75.5
"92",296.394490861016,-171.5,-75.5
"93",348.160240528995,-170.5,-75.5
"94",303.929185082992,-169.5,-75.5
"95",364.198050276756,-168.5,-75.5
"96",331.58004675362,-167.5,-75.5
"97",329.65442789484,-166.5,-75.5
"98",478.669262049778,-159.5,-75.5
"99",483.382938689671,-158.5,-75.5
"100",471.22227890097,-157.5,-75.5
"101",428.612759116574,-156.5,-75.5
"102",452.796196471501,-155.5,-75.5
"103",426.941474503337,-154.5,-75.5
"104",424.111159448192,-153.5,-75.5
"105",469.070450284675,-152.5,-75.5
"106",571.36729129587,-151.5,-75.5
"107",486.99590454656,-150.5,-75.5
"108",459.978826440712,-149.5,-75.5
"109",291.718694575074,-54.5,-75.5
"110",291.961744699272,-53.5,-75.5
"111",305.651318721305,-52.5,-75.5
"112",327.126476724617,-51.5,-75.5
"113",285.424793128612,-50.5,-75.5
"114",306.50100519009,-49.5,-75.5
"115",299.161904386111,-48.5,-75.5
"116",286.099092241148,-47.5,-75.5
"117",291.600430133187,-46.5,-75.5
"118",294.689599347646,-45.5,-75.5
"119",334.086095657198,-44.5,-75.5
"120",308.695588876403,-43.5,-75.5
"121",289.046509956602,-42.5,-75.5
"122",281.564145304575,-41.5,-75.5
"123",310.50045801219,-40.5,-75.5
"124",304.432140186622,-39.5,-75.5
"125",293.383578472173,-38.5,-75.5
"126",309.983707005738,-37.5,-75.5
"127",309.08146126773,-36.5,-75.5
"128",295.774549808348,-35.5,-75.5
"129",293.139344710456,-34.5,-75.5
"130",310.155861714486,-33.5,-75.5
"131",311.740445929853,-32.5,-75.5
"132",332.188509595089,-31.5,-75.5
"133",349.174032897865,-30.5,-75.5
"134",408.236888498584,-29.5,-75.5
"135",392.774829785098,-28.5,-75.5
"136",336.22230690619,-27.5,-75.5
