"","Latitude","Longitude","X100","NPP"
"1",-77.5,-178.5,-1.418,457.7305
"2",-77.5,-177.5,-1.717,457.7305
"3",-77.5,-176.5,-1.675,451.3635
"4",-77.5,-175.5,-1.55,657.24775
"5",-77.5,-172.5,-1.789,778.22075
"6",-77.5,-171.5,-1.772,667.343
"7",-77.5,-170.5,-1.723,758.53925
"8",-77.5,-169.5,-1.816,705.906666666667
"9",-77.5,-168.5,-1.812,664.040333333333
"10",-77.5,-167.5,-1.799,630.589333333333
"11",-77.5,-166.5,-1.832,732.26
"12",-77.5,-165.5,-1.776,681.967
"13",-77.5,-164.5,-1.823,777.7
"14",-77.5,-163.5,-1.722,809.693666666667
"15",-77.5,-162.5,-1.822,863.348333333333
"16",-77.5,-161.5,-1.813,821.758666666667
"17",-77.5,-160.5,-1.691,742.254666666667
"18",-77.5,-159.5,-1.759,484.836333333333
"19",-77.5,-44.5,-1.94,413.989
"20",-77.5,-43.5,-1.895,413.989
"21",-77.5,-42.5,-1.893,413.989
"22",-77.5,-41.5,-1.892,413.989
"23",-77.5,-40.5,-1.883,413.989
"24",-77.5,-39.5,-1.884,413.989
"25",-77.5,-38.5,-1.878,413.989
"26",-77.5,-37.5,-1.894,413.989
"27",-77.5,-36.5,-1.848,413.989
"28",-77.5,-35.5,-1.791,413.989
"29",-77.5,165.5,-1.845,162.836
"30",-76.5,-179.5,-1.711,1201.8295
"31",-76.5,-178.5,-1.816,988.602
"32",-76.5,-177.5,-1.626,976.329
"33",-76.5,-176.5,-1.79,887.36675
"34",-76.5,-175.5,-1.563,365.782333333333
"35",-76.5,-174.5,-1.749,331.239333333333
"36",-76.5,-173.5,-1.817,323.300666666667
"37",-76.5,-172.5,-1.787,299.266
"38",-76.5,-171.5,-1.358,347.628
"39",-76.5,-170.5,-1.695,320.247666666667
"40",-76.5,-169.5,-1.775,337.051666666667
"41",-76.5,-168.5,-1.78,498.131
"42",-76.5,-167.5,-1.86,593.423
"43",-76.5,-166.5,-1.632,419.387666666667
"44",-76.5,-165.5,-1.916,646.936666666667
"45",-76.5,-164.5,-1.603,840.234333333333
"46",-76.5,-163.5,-1.647,867.609333333333
"47",-76.5,-162.5,-1.725,1025.045
"48",-76.5,-161.5,-1.826,1259.712
"49",-76.5,-160.5,-1.794,1195.26166666667
"50",-76.5,-159.5,-1.814,743.365
"51",-76.5,-158.5,-1.91,727.788666666667
"52",-76.5,-157.5,-1.841,694.591
"53",-76.5,-156.5,-1.801,694.591
"54",-76.5,-155.5,-1.539,348.328
"55",-76.5,-45.5,-1.966,377.048
"56",-76.5,-44.5,-1.974,377.048
"57",-76.5,-43.5,-1.966,377.048
"58",-76.5,-42.5,-1.923,377.048
"59",-76.5,-41.5,-1.883,377.048
"60",-76.5,-40.5,-1.911,377.048
"61",-76.5,-39.5,-1.886,377.048
"62",-76.5,-38.5,-1.857,377.048
"63",-76.5,-37.5,-1.861,377.048
"64",-76.5,-36.5,-1.849,377.048
"65",-76.5,-35.5,-1.864,377.048
"66",-76.5,-34.5,-1.862,377.048
"67",-76.5,-33.5,-1.851,377.048
"68",-76.5,-32.5,-1.852,377.048
"69",-76.5,-31.5,-1.882,377.048
"70",-76.5,164.5,-1.872,1071.844
"71",-76.5,165.5,-1.893,1209.01866666667
"72",-76.5,166.5,-1.885,1860.735
"73",-76.5,167.5,-1.862,2134.035
"74",-76.5,168.5,-1.837,1408.905
"75",-76.5,169.5,-1.851,1187.491
"76",-76.5,170.5,-1.833,1341.02266666667
"77",-76.5,171.5,-1.809,1046.351
"78",-76.5,172.5,-1.838,1062.7825
"79",-76.5,173.5,-1.781,1192.9395
"80",-76.5,174.5,-1.724,967.31175
"81",-76.5,175.5,-1.668,984.2735
"82",-76.5,176.5,-1.749,974.20525
"83",-76.5,177.5,-1.691,1052.72325
"84",-76.5,178.5,-1.634,1242.15633333333
"85",-76.5,179.5,-1.622,1055.84266666667
"86",-75.5,-179.5,-1.593,700.337
"87",-75.5,-178.5,-1.894,630.238
"88",-75.5,-175.5,-1.7,256.357
"89",-75.5,-174.5,-1.648,282.246666666667
"90",-75.5,-173.5,-1.745,270.018
"91",-75.5,-172.5,-1.769,361.629
"92",-75.5,-171.5,-1.823,340.105
"93",-75.5,-170.5,-1.804,346.2815
"94",-75.5,-169.5,-1.747,391.372
"95",-75.5,-168.5,-1.842,436.2685
"96",-75.5,-167.5,-1.801,486.8775
"97",-75.5,-166.5,-1.728,528.86
"98",-75.5,-165.5,NA,582.171
"99",-75.5,-159.5,-1.788,1051.13366666667
"100",-75.5,-158.5,-1.823,1233.22533333333
"101",-75.5,-157.5,-1.827,1114.842
"102",-75.5,-156.5,-1.809,1001.677
"103",-75.5,-155.5,-1.834,941.473
"104",-75.5,-154.5,-1.834,1080.342
"105",-75.5,-153.5,-1.831,1064.58333333333
"106",-75.5,-152.5,-1.806,1033.50566666667
"107",-75.5,-151.5,-1.826,1707.91
"108",-75.5,-150.5,-1.736,1095.46
"109",-75.5,-149.5,-1.669,1095.46
"110",-75.5,-54.5,-1.897,250.66
"111",-75.5,-53.5,-1.891,250.66
"112",-75.5,-52.5,-1.884,250.66
"113",-75.5,-51.5,-1.873,250.66
"114",-75.5,-50.5,-1.867,250.66
"115",-75.5,-49.5,-1.864,250.66
"116",-75.5,-48.5,-1.843,250.66
"117",-75.5,-47.5,-1.85,250.66
"118",-75.5,-46.5,-1.837,250.66
"119",-75.5,-45.5,-1.824,250.66
"120",-75.5,-44.5,-1.864,250.66
"121",-75.5,-43.5,-1.879,250.66
"122",-75.5,-42.5,-1.838,250.66
"123",-75.5,-41.5,-1.843,250.66
"124",-75.5,-40.5,-1.837,250.66
"125",-75.5,-39.5,-1.847,250.66
"126",-75.5,-38.5,-1.856,250.66
"127",-75.5,-37.5,-1.849,250.66
"128",-75.5,-36.5,-1.87,250.66
"129",-75.5,-35.5,-1.861,250.66
"130",-75.5,-34.5,-1.862,250.66
"131",-75.5,-33.5,-1.845,250.66
"132",-75.5,-32.5,-1.855,244.376
"133",-75.5,-31.5,-1.865,389.1245
"134",-75.5,-30.5,-1.875,721.592
"135",-75.5,-29.5,-1.896,960.179
"136",-75.5,-28.5,-1.893,729.2625
"137",-75.5,-27.5,-1.909,531.482
"138",-75.5,164.5,-1.791,529.07
"139",-75.5,165.5,-1.857,794.628
"140",-75.5,166.5,-1.89,2361.725
"141",-75.5,167.5,-1.882,3257.79
"142",-75.5,168.5,-1.793,3349.95
"143",-75.5,169.5,-1.817,2216.26
"144",-75.5,170.5,-1.843,1116.639
"145",-75.5,171.5,-1.801,1211.47066666667
"146",-75.5,172.5,-1.606,699.1205
"147",-75.5,173.5,-1.6,476.008
"148",-75.5,174.5,-1.547,663.51175
"149",-75.5,175.5,-1.677,784.29275
"150",-75.5,176.5,-1.746,840.6355
"151",-75.5,177.5,-1.627,765.959666666667
"152",-75.5,178.5,-1.527,696.105
"153",-75.5,179.5,-1.349,757.423
"154",-74.5,-179.5,-1.826,245.145
"155",-74.5,-177.5,-1.766,169.786
"156",-74.5,-176.5,-1.386,142.062
"157",-74.5,-175.5,-1.714,151.839
"158",-74.5,-174.5,-1.487,120.751
"159",-74.5,-170.5,-1.8,724.819
"160",-74.5,-169.5,-1.633,704.653
"161",-74.5,-168.5,-1.678,753.186
"162",-74.5,-167.5,-1.744,814.664
"163",-74.5,-166.5,-1.76,873.513
"164",-74.5,-165.5,-1.728,517.0025
"165",-74.5,-164.5,-1.466,591.498
"166",-74.5,-163.5,-1.55,505.729333333333
"167",-74.5,-162.5,-1.801,548.712333333333
"168",-74.5,-161.5,-1.805,625.539666666667
"169",-74.5,-160.5,-1.803,484.907666666667
"170",-74.5,-159.5,-1.751,534.235
"171",-74.5,-158.5,-1.774,405.232
"172",-74.5,-157.5,-1.761,471.8085
"173",-74.5,-156.5,-1.774,399.79
"174",-74.5,-153.5,NA,766.9335
"175",-74.5,-151.5,-1.158,881.994
"176",-74.5,-150.5,-1.423,846.607
"177",-74.5,-148.5,-1.736,877.218666666667
"178",-74.5,-147.5,-1.735,1063.82033333333
"179",-74.5,-145.5,-1.504,1011.72733333333
"180",-74.5,-144.5,-1.822,999.005
"181",-74.5,-143.5,-1.82,1877.33
"182",-74.5,-108.5,-1.359,68.3346
