"","Temperature.X100","Temperature.Longitude","Temperature.Latitude"
"1",-1.418,-178.5,-77.5
"2",-1.717,-177.5,-77.5
"3",-1.675,-176.5,-77.5
"4",-1.55,-175.5,-77.5
"5",-1.789,-172.5,-77.5
"6",-1.772,-171.5,-77.5
"7",-1.723,-170.5,-77.5
"8",-1.816,-169.5,-77.5
"9",-1.812,-168.5,-77.5
"10",-1.799,-167.5,-77.5
"11",-1.832,-166.5,-77.5
"12",-1.776,-165.5,-77.5
"13",-1.823,-164.5,-77.5
"14",-1.722,-163.5,-77.5
"15",-1.822,-162.5,-77.5
"16",-1.813,-161.5,-77.5
"17",-1.691,-160.5,-77.5
"18",-1.759,-159.5,-77.5
"19",-1.94,-44.5,-77.5
"20",-1.895,-43.5,-77.5
"21",-1.893,-42.5,-77.5
"22",-1.892,-41.5,-77.5
"23",-1.883,-40.5,-77.5
"24",-1.884,-39.5,-77.5
"25",-1.878,-38.5,-77.5
"26",-1.894,-37.5,-77.5
"27",-1.848,-36.5,-77.5
"28",-1.791,-35.5,-77.5
"29",-1.845,165.5,-77.5
"30",-1.711,-179.5,-76.5
"31",-1.816,-178.5,-76.5
"32",-1.626,-177.5,-76.5
"33",-1.79,-176.5,-76.5
"34",-1.563,-175.5,-76.5
"35",-1.749,-174.5,-76.5
"36",-1.817,-173.5,-76.5
"37",-1.787,-172.5,-76.5
"38",-1.358,-171.5,-76.5
"39",-1.695,-170.5,-76.5
"40",-1.775,-169.5,-76.5
"41",-1.78,-168.5,-76.5
"42",-1.86,-167.5,-76.5
"43",-1.632,-166.5,-76.5
"44",-1.916,-165.5,-76.5
"45",-1.603,-164.5,-76.5
"46",-1.647,-163.5,-76.5
"47",-1.725,-162.5,-76.5
"48",-1.826,-161.5,-76.5
"49",-1.794,-160.5,-76.5
"50",-1.814,-159.5,-76.5
"51",-1.91,-158.5,-76.5
"52",-1.841,-157.5,-76.5
"53",-1.801,-156.5,-76.5
"54",-1.539,-155.5,-76.5
"55",-1.966,-45.5,-76.5
"56",-1.974,-44.5,-76.5
"57",-1.966,-43.5,-76.5
"58",-1.923,-42.5,-76.5
"59",-1.883,-41.5,-76.5
"60",-1.911,-40.5,-76.5
"61",-1.886,-39.5,-76.5
"62",-1.857,-38.5,-76.5
"63",-1.861,-37.5,-76.5
"64",-1.849,-36.5,-76.5
"65",-1.864,-35.5,-76.5
"66",-1.862,-34.5,-76.5
"67",-1.851,-33.5,-76.5
"68",-1.852,-32.5,-76.5
"69",-1.882,-31.5,-76.5
"70",-1.872,164.5,-76.5
"71",-1.893,165.5,-76.5
"72",-1.885,166.5,-76.5
"73",-1.862,167.5,-76.5
"74",-1.837,168.5,-76.5
"75",-1.851,169.5,-76.5
"76",-1.833,170.5,-76.5
"77",-1.809,171.5,-76.5
"78",-1.838,172.5,-76.5
"79",-1.781,173.5,-76.5
"80",-1.724,174.5,-76.5
"81",-1.668,175.5,-76.5
"82",-1.749,176.5,-76.5
"83",-1.691,177.5,-76.5
"84",-1.634,178.5,-76.5
"85",-1.622,179.5,-76.5
"86",-1.593,-179.5,-75.5
"87",-1.894,-178.5,-75.5
"88",-1.7,-175.5,-75.5
"89",-1.648,-174.5,-75.5
"90",-1.745,-173.5,-75.5
"91",-1.769,-172.5,-75.5
"92",-1.823,-171.5,-75.5
"93",-1.804,-170.5,-75.5
"94",-1.747,-169.5,-75.5
"95",-1.842,-168.5,-75.5
"96",-1.801,-167.5,-75.5
"97",-1.728,-166.5,-75.5
"99",-1.788,-159.5,-75.5
"100",-1.823,-158.5,-75.5
"101",-1.827,-157.5,-75.5
"102",-1.809,-156.5,-75.5
"103",-1.834,-155.5,-75.5
"104",-1.834,-154.5,-75.5
"105",-1.831,-153.5,-75.5
"106",-1.806,-152.5,-75.5
"107",-1.826,-151.5,-75.5
"108",-1.736,-150.5,-75.5
"109",-1.669,-149.5,-75.5
"110",-1.897,-54.5,-75.5
"111",-1.891,-53.5,-75.5
"112",-1.884,-52.5,-75.5
"113",-1.873,-51.5,-75.5
"114",-1.867,-50.5,-75.5
"115",-1.864,-49.5,-75.5
"116",-1.843,-48.5,-75.5
"117",-1.85,-47.5,-75.5
"118",-1.837,-46.5,-75.5
"119",-1.824,-45.5,-75.5
"120",-1.864,-44.5,-75.5
"121",-1.879,-43.5,-75.5
"122",-1.838,-42.5,-75.5
"123",-1.843,-41.5,-75.5
"124",-1.837,-40.5,-75.5
"125",-1.847,-39.5,-75.5
"126",-1.856,-38.5,-75.5
"127",-1.849,-37.5,-75.5
"128",-1.87,-36.5,-75.5
"129",-1.861,-35.5,-75.5
"130",-1.862,-34.5,-75.5
"131",-1.845,-33.5,-75.5
"132",-1.855,-32.5,-75.5
"133",-1.865,-31.5,-75.5
"134",-1.875,-30.5,-75.5
"135",-1.896,-29.5,-75.5
"136",-1.893,-28.5,-75.5
"137",-1.909,-27.5,-75.5
"138",-1.791,164.5,-75.5
"139",-1.857,165.5,-75.5
"140",-1.89,166.5,-75.5
"141",-1.882,167.5,-75.5
"142",-1.793,168.5,-75.5
"143",-1.817,169.5,-75.5
"144",-1.843,170.5,-75.5
