"","Latitude","Longitude","X100","NPP","W","K","z_star"
"1",-77.5,-178.5,-1.418,457.7305,3.90011442188463,0.0101,386.149942760855
"2",-77.5,-177.5,-1.717,457.7305,3.74156410857654,0.0104,359.765779670821
"3",-77.5,-176.5,-1.675,451.3635,3.7527085893522,0.0105,357.400818033543
"4",-77.5,-175.5,-1.55,657.24775,4.18776574183771,0.0104,402.66978286901
"5",-77.5,-172.5,-1.789,778.22075,4.27699124212535,0.0101,423.464479418352
"6",-77.5,-171.5,-1.772,667.343,4.07911790423871,0.0101,403.873059825614
"7",-77.5,-170.5,-1.723,758.53925,4.2784193901785,0.0107,399.852279455934
"8",-77.5,-169.5,-1.816,705.906666666667,4.12501323720133,0.0111,371.622814162282
"9",-77.5,-168.5,-1.812,664.040333333333,4.05052859991832,0.0119,340.380554614985
"10",-77.5,-167.5,-1.799,630.589333333333,3.99741962497046,0.0106,377.115058959477
"11",-77.5,-166.5,-1.832,732.26,4.16479830218562,0.0102,408.313559037806
"12",-77.5,-165.5,-1.776,681.967,4.10368116618852,0.0114,359.9720321218
"13",-77.5,-164.5,-1.823,777.7,4.2558602538133,0.0104,409.217332097432
"14",-77.5,-163.5,-1.722,809.693666666667,4.37832048132654,0.0105,416.98290298348
"15",-77.5,-162.5,-1.822,863.348333333333,4.42313622259738,0.0101,437.934279465087
"16",-77.5,-161.5,-1.813,821.758666666667,4.34682311718472,0.0106,410.077652564596
"17",-77.5,-160.5,-1.691,742.254666666667,4.26619234441515,0.0111,384.341652650013
"18",-77.5,-159.5,-1.759,484.836333333333,3.76531290501413,0.0115,327.41851347949
"19",-77.5,-44.5,-1.94,413.989,3.55705358850697,0.0103,345.34500859291
"20",-77.5,-43.5,-1.895,413.989,3.57934099013589,0.0118,303.333982214906
"21",-77.5,-42.5,-1.893,413.989,3.58033477603682,0.0119,300.868468574522
"22",-77.5,-41.5,-1.892,413.989,3.58083177245235,0.0106,337.814318155882
"23",-77.5,-40.5,-1.883,413.989,3.58530784586826,0.0101,354.980974838442
"24",-77.5,-39.5,-1.884,413.989,3.58481022820253,0.0107,335.028993289956
"25",-77.5,-38.5,-1.878,413.989,3.58779697052448,0.01,358.779697052448
"26",-77.5,-37.5,-1.894,413.989,3.57983784860119,0.0105,340.936937962018
"27",-77.5,-36.5,-1.848,413.989,3.60276805041237,0.0102,353.212553961997
"28",-77.5,-35.5,-1.791,413.989,3.63138542520769,0.0106,342.583530679971
"29",-77.5,165.5,-1.845,162.836,3.2203071461166,0.0114,282.483082992684
"30",-76.5,-179.5,-1.711,1201.8295,5.22818904678972,0.0117,446.853764682882
"31",-76.5,-178.5,-1.816,988.602,4.68262142097142,0.0107,437.628170184245
"32",-76.5,-177.5,-1.626,976.329,4.78136587359831,0.0115,415.770945530288
"33",-76.5,-176.5,-1.79,887.36675,4.49094415597207,0.0114,393.942469822112
"34",-76.5,-175.5,-1.563,365.782333333333,3.66797843407861,0.0113,324.599861422885
"35",-76.5,-174.5,-1.749,331.239333333333,3.51954156601189,0.0103,341.703064661348
"36",-76.5,-173.5,-1.817,323.300666666667,3.47408673568025,0.0103,337.289974337888
"37",-76.5,-172.5,-1.787,299.266,3.45117993459946,0.011,313.743630418133
"38",-76.5,-171.5,-1.358,347.628,3.74324586133149,0.0114,328.354900116797
"39",-76.5,-170.5,-1.695,320.247666666667,3.52858293145562,0.0106,332.885182212795
"40",-76.5,-169.5,-1.775,337.051666666667,3.51601656981162,0.0105,334.85872093444
"41",-76.5,-168.5,-1.78,498.131,3.77680629687528,0.0116,325.586749730627
"42",-76.5,-167.5,-1.86,593.423,3.89819241944134,0.0103,378.465283440906
"43",-76.5,-166.5,-1.632,419.387666666667,3.72141974032507,0.0108,344.575901881951
"44",-76.5,-165.5,-1.916,646.936666666667,3.96196796943414,0.0119,332.938484826398
"45",-76.5,-164.5,-1.603,840.234333333333,4.51263061729038,0.0118,382.426323499185
"46",-76.5,-163.5,-1.647,867.609333333333,4.54056119478433,0.0103,440.831183959644
"47",-76.5,-162.5,-1.725,1025.045,4.82028889264593,0.0119,405.066293499658
"48",-76.5,-161.5,-1.826,1259.712,5.28072230631347,0.0107,493.525449188174
"49",-76.5,-160.5,-1.794,1195.26166666667,5.1531007284992,0.0103,500.301041601864
"50",-76.5,-159.5,-1.814,743.365,4.1960638097535,0.0107,392.155496238645
"51",-76.5,-158.5,-1.91,727.788666666667,4.11169686156972,0.011,373.790623779066
"52",-76.5,-157.5,-1.841,694.591,4.08991452907631,0.0104,393.261012411184
"53",-76.5,-156.5,-1.801,694.591,4.11268541298706,0.0111,370.512199368204
"54",-76.5,-155.5,-1.539,348.328,3.65152059861498,0.0109,335.001889781191
"55",-76.5,-45.5,-1.966,377.048,3.4860024043026,0.0113,308.49578799138
"56",-76.5,-44.5,-1.974,377.048,3.48213360639485,0.0116,300.183931585763
"57",-76.5,-43.5,-1.966,377.048,3.4860024043026,0.0104,335.19253887525
"58",-76.5,-42.5,-1.923,377.048,3.50687095614376,0.0102,343.81087805331
"59",-76.5,-41.5,-1.883,377.048,3.5263957043664,0.0103,342.368514987029
"60",-76.5,-40.5,-1.911,377.048,3.51271700242016,0.01,351.271700242016
